priceid,sku,title,Customer,Price
15131,1197,22160/5 SUIT ,SQUIRE SHOPPE,75 / 22.50 TRS
15132,89,1031 SHIRT,SUITS 2U,22 / 25 KING
15133,1240,168/1 SUIT,VELE PTY LTD / SNK,80 / 20 / 95 BIG /25.5
15134,654,1090 SHIRT ,BEST DRESSED MAN,22 / 25BIG
15135,1198,1303/96 SUIT,ZIBARA,66
15136,150,"1034 SHIRT  , 1090 SHIRT",MORE 4 MEN,21 / 19 BOY
15137,1241,MF W2 DINNER JACKET ONLY,JOE LICHAA,65
15138,1207,1319/3 SUIT,MORE 4 MEN,65 / 19.50
15139,804,CLEARANCE TRS,VELE / SNK ,7.5
15140,1242,1319/3 MEN SUIT,JOE LICHAA,65 / 19.5
15141,253,"TRIM SUIT, T128 (W2)",LES YATES MENSWEAR,95 / 145 BIG / 25
15142,1023,"1090 , 1034 BOY SHIRT",THE WEDDING SHOPPE - DUBBO,20
15143,474,BOY TRIM SUIT,NU MANZ,65 / 20 TRS
15144,1243,5110 SHIRT,MICK T'S CLOTHING,20.00 / 23 BIG
15145,1197,22160/5 SUIT ,MALE MANOR,75 / 22.50 BOY 60 / 18.00
15146,601,V069,WHYTES CLOTHING,22 / 25 BIG & KING
15147,1023,"1090 , 1034 BOY SHIRT",GARRY ANTHONY MENSLAND,21
15148,1243,5110 SHIRT,WALLACE & CO,22 /25 
15149,467,PV SUIT,EAGLESHAMS MENSWEAR,75.90 / 23  /110 /28.50BIG
15150,524,BOY PV SUIT,EAGLESHAMS MENSWEAR,53.9 / 16.5 
15151,1243,5110 SHIRT,COPPARDS,25 / 28
15152,1126,BOY 1034 SHIRT,THE SUIT GUYS,18
15153,1220,1319/3 BOY SUIT ,THE WEDDING SHOPPE - DUBBO,53.90 /  18.5
15154,1244,8944/732 SUIT,LOTUS,75
15155,1245,1501 POLO SHIRT,LOTUS,11
15156,1246,KNITS HW-10,LOTUS,7
15157,1247,5501/2,LOTUS,50
15158,474,BOY TRIM SUIT,GUNN'S MENSLAND,60 / 20 
15159,510,KID MF SHIRT,GUNN'S MENSLAND,16.5
15160,1248,2 BUCKLE BELT,MS MENSWEAR- CAMPBELLTOWN,13.5
15161,1197,22160/5 SUIT ,BAIRNSDALE MENSWEAR PTY,75 / 22.50
15162,474,BOY TRIM SUIT,ALEXANDAR MICHAELS CLOTHING FOR MEN,65 / 20 
15163,851,"1034 , 1090 BOY SHIRT",ALEXANDAR MICHAELS CLOTHING FOR MEN,15
15164,444,RFS/AF028 TRS,JOHN FLANAGANS MENSWEAR,16.5
15165,1249,MF TRS & VEST,ALL THINGS WEDDING,16.5
15166,460,V069 BOY SHIRT,ALL THINGS WEDDING,20
